Ticker;Name;Price;EarningsPerShare;FiftyTwoWeeksLow;FiftyTwoWeeksHigh;MarketCap;EBITDA
OMC;Omnicom Group;75.91;4.79;86.71;65.32;17377551986;2366000000
OKE;ONEOK;54.4;1.66;61.36;47.14;21988472489;1851783000
ORCL;Oracle Corp.;46.84;2.2;53.14;40.01;2.02302E+11;16545000000
PCAR;PACCAR Inc.;66.98;4.75;79.69;61.93;24152102921;3619200000
PKG;Packaging Corporation of America;111.95;7.07;131.1316;88.47;11051273948;1214900000
PH;Parker-Hannifin;174.51;7.24;212.8;145.38;24421668509;2092089000
PDCO;Patterson Companies;32.88;1.79;48.295;32.07;3209792400;359644000
PAYX;Paychex Inc.;61.86;2.26;73.1;54.2;23253666810;1414900000
PYPL;PayPal;72.32;1.47;86.32;39.92;90708000000;2932000000
PNR;Pentair Ltd.;66.67;3.63;74.84;57.63;12466660892;863700000
PBCT;People's United Financial;18.56;0.97;20.14;15.965;6527616000;0
PEP;PepsiCo Inc.;110.15;4.36;122.51;104.77;1.61413E+11;12843000000
PKI;PerkinElmer;72.06;2.64;84.49;52.63;8351767268;445658000
PRGO;Perrigo;84.44;-28.01;95.93;63.68;12326379902;0
PFE;Pfizer Inc.;33.63;3.51;39.43;31.67;2.08506E+11;20569000000
PCG;PG&E Corp.;38.24;2.78;71.57;38.45;20309412381;6471000000
PM;Philip Morris International;100.39;4.48;123.55;96.66;1.53581E+11;11802000000
PSX;Phillips 66;92.44;9.93;107.47;75.135;47996220000;5311000000
PNW;Pinnacle West Capital;74.34;3.95;92.48;73.81;8397609889;1614399000
PXD;Pioneer Natural Resources;169.16;-3.39;199.83;125.46;29983119693;1717000000
PNC;PNC Financial Services;149.38;10.4;160.07;115.25;73315000000;0
RL;Polo Ralph Lauren Corp.;101.32;-1.19;119.33;66.06;8753430477;506100000
PPG;PPG Industries;110.3;6.31;122.0697;99.57;29043337549;2585000000
PPL;PPL Corp.;29.52;2.79;40.2;29.205;20839814845;3937000000
PX;Praxair Inc.;144.07;4.32;166.95;115.53;42948664203;3632000000
PCLN;Priceline.com Inc;1806.06;42.66;2067.99;1589;91817448863;4803487000
PFG;Principal Financial Group;60.38;4.5;75.585;58.9401;18457199721;0
PG;Procter & Gamble;80.22;5.6;94.67;80.1;2.06319E+11;17249000000
PGR;Progressive Corp.;51.07;2.73;58.25;36.84;31062780000;0
PLD;Prologis;58.33;3.06;67.53;48.69;31953288000;2969194000
PRU;Prudential Financial;103.38;9.73;127.14;97.88;47136080000;0
PEG;Public Serv. Enterprise Inc.;46.73;1.75;53.28;41.67;24138050331;3613000000
PSA;Public Storage;180.49;6.81;232.21;180.9254;32258539942;1924803000
PHM;Pulte Homes Inc.;28.67;1.44;35.21;21.06;8792572352;992811000
PVH;PVH Corp.;142.68;6.77;157.96;84.53;11478625926;1057500000
QRVO;Qorvo;76.85;-0.13;85.24;62.68;9877885146;806875000
QCOM;QUALCOMM Inc.;62.42;1.65;69.28;48.92;96282828902;4191000000
PWR;Quanta Services Inc.;33.51;1.28;40.105;30.23;5330131216;649404000
DGX;Quest Diagnostics;96.42;5.5;112.965;90.1;13578300000;1453000000
RRC;Range Resources Corp.;12.82;-2.79;34.09;12.7;3255587970;820095000
RJF;Raymond James Financial Inc.;86.06;4.12;99.1;71.35;13216271700;0
RTN;Raytheon Co.;198.74;6.95;213.45;147.86;59066255840;3868000000
O;Realty Income Corporation;47.56;1.12;63.6;48.89;13784942453;1075568000
RHT;Red Hat Inc.;124.65;1.68;135.77;78.48;22799923883;541809000
REG;Regency Centers Corporation;55.58;1.43;72.05;56.66;9858367494;487636000
REGN;Regeneron;322.62;7.74;543.5518;319.5;35950369241;2043160000
RF;Regions Financial Corp.;17.9;1;19.9;13;21500640000;0
RSG;Republic Services Inc;62.72;1.77;69.4;57.53;21590903863;2734000000
RMD;ResMed;89.26;2.41;104.78;67.04;13233622689;636942000
RHI;Robert Half International;52.26;2.32;60.59;42.92;7047165475;565196000
ROK;Rockwell Automation Inc.;178.73;6.35;210.72;147.67;24123216432;1323200000
COL;Rockwell Collins;133.31;4.8;139.63;89.9;22197870556;1696000000
ROP;Roper Technologies;259.4;9.38;290.415;191.22;27247789759;1555209000
ROST;Ross Stores;75.06;2.83;85.66;52.85;29803566306;2247009000
RCL;Royal Caribbean Cruises Ltd;122.45;7.53;135.65;93.4;27418147452;2876309000
SPGI;S&P Global, Inc.;173.31;7.95;185.38;124.64;46585950000;3021000000
CRM;Salesforce.com;104.03;0.27;114.52;79.63;79489115000;925804000
SBAC;SBA Communications;159.85;0.62;177.67;103.51;19572031314;1074240000
SCG;SCANA Corp;35.6;4.16;71.28;35.31;5229448882;1459000000
SLB;Schlumberger Ltd.;67.4;-1.08;82.71;61.02;96529311126;3222000000
SNI;Scripps Networks Interactive Inc.;86.46;5.18;88.87;64.87;11328642413;1351059000
STX;Seagate Technology;47.44;2.58;56.45;30.6;14113197720;1811000000
SEE;Sealed Air;42.62;2.46;50.62;41.22;8001938397;969700000
SRE;Sempra Energy;103.36;5.45;122.975;100.63;26163862235;3763000000
SHW;Sherwin-Williams;387.65;18.61;435.15;302.0101;37730994828;2160668000
SIG;Signet Jewelers;49.38;7.03;77.94;46.09;3034275549;852700000
SPG;Simon Property Group Inc;152.18;6.25;187.35;150.15;48139839531;4411515000
SWKS;Skyworks Solutions;99.04;5.41;117.65;90.53;18493080922;1122900000
SLG;SL Green Realty;90.61;0.88;115.34;91.2;8617714345;795889000
SNA;Snap-On Inc.;156.72;9.2;185.47;140.83;9499107736;982200000
SO;Southern Co.;43.4;2.53;53.51;42.63;43497224128;6012000000
LUV;Southwest Airlines;55.63;5.82;66.985;49.76;34351211637;4533000000
SWK;Stanley Black & Decker;152.86;8.05;176.62;121.09;24496399600;2264600000
SBUX;Starbucks Corp.;53.77;1.97;64.87;52.58;76548976000;7361500000
STT;State Street Corp.;98.54;5.23;114.27;75.27;38059113300;0
SRCL;Stericycle Inc;70.55;2.08;88;61.25;6218560288;305085000
SYK;Stryker Corp.;148.01;2.68;170;122.01;57509096756;2863000000
STI;SunTrust Banks;65.8;4.48;72.06;51.96;32498948310;0
SYMC;Symantec Corp.;25.59;-0.17;34.2;25.65;16520497264;1227000000
SYF;Synchrony Financial;34.98;2.41;40.59;26.01;28893750000;0
SNPS;Synopsys Inc.;82.62;0.87;94.8;64.75;12767067883;579844000
SYY;Sysco Corp.;57;2.08;64.27;48.85;30445320778;2988725000
TROW;T. Rowe Price Group;101.99;4.75;120.07;66.7;25810865035;2281400000
TPR;Tapestry, Inc.;48.85;2.09;50.71;36.69;14247199374;0
TGT;Target Corp.;71.11;4.71;78.7;48.56;39816696539;7105000000
TEL;TE Connectivity Ltd.;95.27;4.71;108.23;71.93;34983666316;2797000000
FTI;TechnipFMC;29.1;0;35;24.53;14163064455;540167833.4
TXN;Texas Instruments;97.66;3.6;120.75;74.52;1.00263E+11;7013000000
TXT;Textron Inc.;55.54;1.14;62.19;45;15254672353;1454000000
BK;The Bank of New York Mellon Corp.;53.29;3.73;58.99;44.91;56083904906;0
CLX;The Clorox Company;127.76;5.33;150.4;124.09;16540418002;1295000000
COO;The Cooper Companies;223.17;7.52;256.39;187.02;11297958140;615700000
HSY;The Hershey Company;97.65;3.66;116.49;98.851;20867272020;1404123000
MOS;The Mosaic Company;24.13;0.85;34.36;19.23;9726962131;1165100000
TRV;The Travelers Companies Inc.;135.01;7.31;150.55;113.76;38903131815;0
DIS;The Walt Disney Company;101.35;5.7;116.1;96.2;1.57817E+11;12544000000
TMO;Thermo Fisher Scientific;198.73;5.6;226.44;151.69;83226586345;4751300000
TIF;Tiffany & Co.;99.62;3.55;111.44;77.93;12810515320;949500000
TWX;Time Warner Inc.;93.02;6.62;103.9;85.88;74185800000;7671000000
TJX;TJX Companies Inc.;74.36;3.46;81.46;66.44;48181450881;4600216000
TMK;Torchmark Corp.;80.52;4.5;93.595;73.53;9614412169;0
TSS;Total System Services;81.17;3.16;89.92;50.96;15694951118;1097534000
TSCO;Tractor Supply Company;65.94;3.3;82.68;49.87;8459271203;859519000
TDG;TransDigm Group;283;7.92;321.38;203.72;15241203731;1635916000
TRIP;TripAdvisor;40.05;0.81;53.29;29.5;5700998508;234000000
FOXA;Twenty-First Century Fox Class A;34.56;1.59;39.135;24.81;44027094922;5280000000
FOX;Twenty-First Century Fox Class B;34.09;1.59;38.56;24.3;66135313503;5280000000
TSN;Tyson Foods;73.92;4.79;84.65;57.2;26957526800;2521000000
USB;U.S. Bancorp;52.65;3.52;58.5;49.535;90940115897;0
UDR;UDR Inc;32.92;1.08;40.71;33.31;9050154422;665141000
ULTA;Ulta Salon Cosmetics & Fragrance Inc;209.09;6.52;314.86;187.96;13300000127;1002093000
UAA;Under Armour Class A;13.14;0.45;23.46;11.4;5856913571;399277000
UA;Under Armour Class C;11.95;0.45;21.805;10.36;5366628950;399277000
UNP;Union Pacific;124.86;13.52;143.05;101.06;1.01513E+11;10169000000
UAL;United Continental Holdings;63.37;7.05;83.04;56.51;19363059152;5929000000
UNH;United Health Group Inc.;216.46;10.71;250.79;156.49;2.18835E+11;17454000000
UPS;United Parcel Service;109.28;5.62;135.53;102.12;96436356833;7919000000
URI;United Rentals, Inc.;161.99;15.72;189;100.621;14654954091;2760000000
UTX;United Technologies;127.48;5.7;139.24;107.05;1.05387E+11;10584000000
UHS;Universal Health Services, Inc.;114.87;7.14;129.74;95.26;11116075286;1676204000
UNM;Unum Group;47.87;4.38;58.73;43.55;11256432318;0
VFC;V.F. Corp.;78.75;2.55;82.95;48.05;31797645904;1624441000
VLO;Valero Energy;86.77;9.24;99.95;60.69;39312309113;5401000000
VAR;Varian Medical Systems;112.82;2.69;130.29;77.73;10692681720;500600000
VTR;Ventas Inc;50.92;1.86;72.36;51.8;18865999082;1935931000
VRSN;Verisign Inc.;105.62;3.43;118.28;81.17;10754983829;767864000
VRSK;Verisk Analytics;92.28;3.45;100.54;75.6;15594677147;1011200000
VZ;Verizon Communications;49.04;7.36;54.77;42.8;2.08092E+11;45745000000
VRTX;Vertex Pharmaceuticals Inc;151.6;1.04;174.955;84.39;39369386348;97562000
VIAB;Viacom Inc.;32.71;4.68;46.72;22.13;10601008017;5600000000
V;Visa Inc.;113.86;2.8;126.88;84.88;2.70039E+11;13086000000
VNO;Vornado Realty Trust;66.18;4.33;111.72;66.0101;12778779911;0
VMC;Vulcan Materials;121.47;3.1;141.2;108.95;16964162228;970976000
WMT;Wal-Mart Stores;100.02;4.39;109.98;66.89;3.04681E+11;30721000000
WBA;Walgreens Boots Alliance;68.22;3.78;88;63.82;70862541911;7083000000
WM;Waste Management Inc.;79.12;2.66;89.73;69.55;35488486675;3896000000
WAT;Waters Corporation;191.79;0.19;220.2;145.94;16064078572;773932000
WEC;Wec Energy Group Inc;59.5;3.79;70.09;56.63;18890296993;2736500000
WFC;Wells Fargo;55.4;4.07;66.31;49.27;2.81464E+11;0
HCN;Welltower Inc.;54.67;2.81;78.17;55.29;20943679019;1908253000
WDC;Western Digital;80.09;1.29;95.77;71.38;24760297793;5169000000
WU;Western Union Co;18.81;0.51;22.21;18.39;8951609207;694600000
WRK;WestRock Company;60.93;2.77;71.55;49.23;16433340688;2262300000
WY;Weyerhaeuser Corp.;33.6;0.77;37.89;30.9504;26070297960;1365000000
WHR;Whirlpool Corp.;164.95;4.51;202.99;158.8;12177920000;1842000000
WMB;Williams Cos.;28.56;-0.57;33.67;26.8188;24802396470;3955000000
WLTW;Willis Towers Watson;152.36;3.07;165;120.869;20780269334;1440000000
WYN;Wyndham Worldwide;113.56;5.53;127.96;80.11;11993835688;1232000000
WYNN;Wynn Resorts Ltd;169.28;7.27;203.63;92.67;18225400525;1501301000
XEL;Xcel Energy Inc;42.44;2.21;52.22;41.16;21559611927;3885828000
XRX;Xerox Corp.;29.8;0.59;37.42;26.64;7938833340;1191000000
XLNX;Xilinx Inc;62.82;2.32;77.26;54.99;17064975551;845468000
XL;XL Capital;41.26;-2.24;47.27;33.77;10753423590;0
XYL;Xylem Inc.;70.24;1.83;76.81;46.86;12915021000;722000000
YUM;Yum! Brands Inc;76.3;4.07;86.93;62.85;27003303098;2289000000
ZBH;Zimmer Biomet Holdings;115.53;9.01;133.49;108.17;24454698119;2007400000
ZION;Zions Bancorp;50.71;2.6;55.61;38.43;10670678640;0
ZTS;Zoetis;71.51;1.65;80.13;52;35991109776;1734000000
